Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd,Income_Indices,Income_Per_Person_euro
"STATION HOUSE, BALLYCAR, NEWMARKET ON FERGUS",Unknown,Clare,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,31,3,2020,2020-03-31,89.41223561,29116.97526
"15 CARRAIG BEAG, OLD BRIDGE RD, COOTEHILL",Unknown,Cavan,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,28,9,2021,2021-09-28,79.16602373,26311.79455
"53 THE GREEN, LARCH HILL, OSCAR TRAYNOR ROAD",Unknown,Dublin,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,7,2019,2019-07-25,122.2901374,38902.81574
"23 INVER PARK, CARRICKMACROSS, MONAGHAN",Unknown,Monaghan,210000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,20,8,2019,2019-08-20,81.3290925,25872.32924
"73 THE PADDOCKS, NAAS, KILDARE",Unknown,Kildare,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,9,2014,2014-09-12,102.4504307,26833.2306
"SCHOOL RD, CRINKILL, BIRR",Unknown,Offaly,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,3,2016,2016-03-21,78.74897094,22044.42843
"34B SEASON PARK, NEWTOWNMOUNTKENNEDY, CO. WICKLOW",Unknown,Wicklow,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,2,2018,2018-02-12,103.2362037,31564.59124
"CLOONBIGGEN, CLAREGALWAY, GALWAY",Unknown,Galway,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,7,2016,2016-07-08,92.06370489,25771.66062
"71 SEVILLE LAWNS, MARGARETS FIELD, KILKENNY",Unknown,Kilkenny,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,11,2021,2021-11-10,87.17800513,29101.90619
"12 ELMWOOD, BALLYCONNON, MEELICK",Unknown,Clare,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,3,2016,2016-03-16,88.45751594,24762.16966
"95 PARNELL RD, DOLPHINS BARN, DUBLIN 12",Dublin 12,Dublin,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,3,2021,2021-03-29,123.9176757,41522.06589
"12 MONTROSE AVE, ARTANE, DUBLIN 5",Dublin 5,Dublin,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,12,2016,2016-12-14,121.9729259,34144.23583
"BOOLADUFF, INAGH, ENNIS",Unknown,Clare,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,1,11,2017,2017-11-01,89.14211516,26392.16126
"31 CASTLEOWEN, BLARNEY, CORK",Unknown,Cork,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,9,2015,2015-09-14,98.45160268,26763.32095
"CUSH, MARTINSTOWN, KILMALLOCK",Unknown,Limerick,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,24,6,2021,2021-06-24,111.3360294,37352.90892
"Mansfield, Kinsale",Unknown,Cork,210000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,15,6,2015,2015-06-15,98.45160268,26763.32095
"34 WOODVIEW, KILLEAGH, CORK",Unknown,Cork,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,5,2021,2021-05-25,102.6648871,34327.05524
"19 CASTLEKNOCK, BALLINCOLLIG, CORK",Unknown,Cork,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,26,9,2017,2017-09-26,98.94301186,29293.89683
"32 Kellys Bay Strand, Skerries, Co. Dublin",Unknown,Dublin,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,12,2011,2011-12-16,117.6102093,29387.63815
"1 WOODFIELD, OLD CHAPEL, BANDON",Unknown,Cork,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,9,2015,2015-09-25,98.45160268,26763.32095
"INISHMORE, BUTLERS BRIDGE, CAVAN",Unknown,Cavan,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,5,5,2016,2016-05-05,83.23621427,23300.5555
"27 MILL COURT AVE, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,23,3,2020,2020-03-23,123.1012168,40191.10945
"69 HIGH ST, CORK",Unknown,Cork,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,7,2,2020,2020-02-07,102.4934839,33427.07414
"50 THORNBERRY, BARNA, CO GALWAY",Unknown,Galway,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,11,2020,2020-11-03,89.61251364,29161.30477
"3 ESKER GROVE, ARDKEEN VILLAGE, WATERFORD",Unknown,Waterford,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,15,3,2019,2019-03-15,90.0757785,28654.81621
"11 CUIRT EANNA, LONGWALK, GALWAY",Unknown,Galway,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,6,2015,2015-06-19,90.412496,24577.95081
"214 Kildare Road, Crumlin, Dublin 12",Dublin 12,Dublin,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,12,2010,2010-12-03,114.6838254,29224.81553
"2 HAWTHORN HILL, NEWTOWNCUNNINGHAM, DONEGAL",Unknown,Donegal,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,12,2020,2020-12-21,71.91219733,23409.2373
"107 SHANOWEN, RATHCORMAC, CORK",Unknown,Cork,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,8,2018,2018-08-03,101.6747702,31087.1811
"21 ARD NA MAINISTREACH, QUIN, CLARE",Unknown,Clare,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,13,11,2018,2018-11-13,88.62694797,27097.79405
"12 ARDILAUN, ARCADIA, ATHLONE",Unknown,Westmeath,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,26,11,2018,2018-11-26,77.63975426,23738.44659
"29 Oak Drive, Rushbrook Links, Cobh",Unknown,Cork,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,30,11,2012,2012-11-30,99.68430933,25832.86283
"184 CLUAIN DARA, CLONARD, WEXFORD",Unknown,Wexford,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,6,2021,2021-06-29,81.57245941,27113.90239
"21 REDMOND COVE, REDMOND ROAD, WEXFORD TOWN",Unknown,Wexford,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,7,5,2021,2021-05-07,81.57245941,27113.90239
"LOWER ROSSES POINT, SLIGO, COUNTY SLIGO",Unknown,Sligo,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,11,12,2020,2020-12-11,86.48527894,28169.17605
"43 Willowbank, Church Road, Blackrock",Unknown,Cork,210000.0,Yes,Second-Hand Dwelling house /Apartment,Unknown,16,12,2013,2013-12-16,100.9859374,25943.65299
"18 VIKING RD, DUBLIN 7, DUBLIN",Dublin 7,Dublin,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,13,12,2019,2019-12-13,122.2901374,38902.81574
"BELGROVE, COBH, CO CORK",Unknown,Cork,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,5,2021,2021-05-19,102.6648871,34327.05524
"2 LAVALLIN MEWS, WHITECHURCH, CORK",Unknown,Cork,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,30,3,2016,2016-03-30,98.91884037,27690.63863
"SLIEVERUE HOUSE, NEWCASTLE, NEWBAWN",Unknown,Wexford,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,6,2016,2016-06-10,84.26335264,23588.08533
"119 TUR UISCE, DOUGHISKA, GALWAY",Unknown,Galway,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,27,11,2020,2020-11-27,89.61251364,29161.30477
"Ballyhugh, Ballyconnell",Unknown,Cavan,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,7,2013,2013-07-16,84.08393033,21601.46617
"5 Latchford Close, Castaheaney, Castleknock",Dublin 15,Dublin,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,7,2013,2013-07-03,120.0591077,30843.61949
"249 GREENPARK MEADOWS, MULLINGAR, CO WESTMEATH",Unknown,Westmeath,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,8,2019,2019-08-14,75.88279203,24139.75761
"56 Roseglen, Kilbarrack",Dublin 5,Dublin,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,7,10,2013,2013-10-07,120.0591077,30843.61949
"16 Meadowbrook, Tramore",Unknown,Waterford,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,7,2011,2011-07-08,92.88222676,23208.77828
"SUITE 42, THE LODGE, DOONBEG",Unknown,Clare,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,6,9,2012,2012-09-06,90.2579926,23390.06367
"2 MILLSTREAM PARK, TUAM, GALWAY",Unknown,Galway,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,2,2021,2021-02-12,88.85740352,29578.80337
"LAVALLY, GORT, GALWAY",Unknown,Galway,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,12,2017,2017-12-18,91.30778344,27033.34715
"12 MALTON HOUSE, CUSTOM HOUSE SQ, DUBLIN 2",Unknown,Dublin,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,2,2014,2014-02-14,120.6112462,31589.80748
"1 THE MEADOWS, MOGEELY MIDLETON CORK, CORK",Unknown,Cork,210000.0,No,Second-Hand Dwelling house /Apartment,Unknown,4,12,2019,2019-12-04,102.3223668,32550.68859
"52 GLEN DARA, RAHOON, GALWAY",Unknown,Galway,210084.74,No,Second-Hand Dwelling house /Apartment,Unknown,11,4,2019,2019-04-11,90.37404068,28749.69908
"86 Brocan Wood, Cowpasture, Monasterevin",Unknown,Kildare,238641.41125,No,New Dwelling house /Apartment,Unknown,21,6,2019,2019-06-21,107.1593191,34089.41499
"8 DUN EMER WAY, LUSK, DUBLIN",Unknown,Dublin,210500.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,1,2021,2021-01-18,123.9176757,41522.06589
"131 AN FIODAN, DOUGHISKA, GALWAY CITY",Unknown,Galway,210521.9,No,Second-Hand Dwelling house /Apartment,Unknown,14,6,2018,2018-06-14,91.05341986,27839.69069
"62 Bramble Avenue, Castleoaks, Dublin Road",Unknown,Carlow,239000.355,No,New Dwelling house /Apartment,Unknown,9,7,2019,2019-07-09,88.11763163,28031.8925
"27 SLI AONGHUSA, ARAS NA RI, OLD RD",Unknown,Tipperary,211000.0,No,Second-Hand Dwelling house /Apartment,Unknown,17,7,2019,2019-07-17,83.31231368,26503.22958
"2 BARRY AVE, FINGLAS WEST, DUBLIN 11",Dublin 11,Dublin,211000.0,No,Second-Hand Dwelling house /Apartment,Unknown,28,3,2019,2019-03-28,122.2901374,38902.81574
"116 ARD AULIN, MUNGRET, LIMERICK",Unknown,Limerick,211000.0,No,Second-Hand Dwelling house /Apartment,Unknown,20,11,2020,2020-11-20,110.2827876,36028.55853
"37 TUANSGATE, BELGARD SQ NORTH, TALLAGHT",Dublin 24,Dublin,211000.0,No,Second-Hand Dwelling house /Apartment,Unknown,28,2,2018,2018-02-28,122.3417314,37406.12892
"56 Temple Mills, Rathangan, Co. Kildare",Unknown,Kildare,239949.99815,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,5,10,2018,2018-10-05,113.8570586,34811.93017
"90 Cedar Walk, Castleoaks, Dublin Road",Unknown,Carlow,239949.99815,No,New Dwelling house /Apartment,Unknown,21,10,2021,2021-10-21,87.44297161,29167.12101
"16 Carlinn Gardens, Mullarlin Road, Dundalk",Unknown,Louth,240000.29,No,New Dwelling house /Apartment,Unknown,16,12,2019,2019-12-16,88.50637394,28155.55881
"20Gleanntan Na HAbhainn, Kilora, Craughwell",Unknown,Galway,240000.29,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,25,7,2018,2018-07-25,91.05341986,27839.69069
"15 Carlinn Gardens, Mullaharlin Road, Dundalk",Unknown,Louth,240000.29,No,New Dwelling house /Apartment,Unknown,1,11,2019,2019-11-01,88.50637394,28155.55881
"51 Drakes Point, Crosshaven",Unknown,Cork,240000.29,No,New Dwelling house /Apartment,Unknown,9,4,2019,2019-04-09,102.3223668,32550.68859
"137 Cluain Larach, Knockenduff, Tramore",Unknown,Waterford,240000.29,No,New Dwelling house /Apartment,greater than or equal to 125 sq metres,21,3,2018,2018-03-21,89.41008255,27337.23837
"12 Glasnevin Woods, Glasnevin",Dublin 11,Dublin,211500.0,No,Second-Hand Dwelling house /Apartment,Unknown,30,8,2013,2013-08-30,120.0591077,30843.61949
"3 The Reeks, Rockfield, Killarney",Unknown,Kerry,240052.5,No,New Dwelling house /Apartment,greater than or equal to 125 sq metres,19,10,2015,2015-10-19,84.22336603,22895.48281
"5 MILL BANK, SALLINS, NAAS",Unknown,Kildare,211647.0,No,Second-Hand Dwelling house /Apartment,Unknown,20,3,2018,2018-03-20,113.8570586,34811.93017
"27 Sandycove Avenue West, Sandycove, Dun Laoghaire",Unknown,Dublin,211666.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,10,2013,2013-10-25,120.0591077,30843.61949
"66 GREENPARK MEADOWS, MULLINGAR, WESTMEATH",Unknown,Westmeath,211800.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,3,2021,2021-03-22,73.53155314,24398.43088
"52 ELLENSBOROUGH RISE, KILTIPPER RD, TALLAGHT DUBLIN 24",Unknown,Dublin,212000.0,No,Second-Hand Dwelling house /Apartment,Unknown,24,1,2014,2014-01-24,120.6112462,31589.80748
"66 Crossforge, Saggart",Unknown,Dublin,240620.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,28,1,2014,2014-01-28,120.6112462,31589.80748
"23 Birchgrove, Ballintemple",Unknown,Cork,212000.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,11,2014,2014-11-25,99.86583566,26156.28826
"9 GLEANN RUA, BALLYCASEY, SHANNON",Unknown,Clare,212000.0,No,Second-Hand Dwelling house /Apartment,Unknown,26,8,2016,2016-08-26,88.45751594,24762.16966
"34 SHALIMAR CLONDALKIN, CLONDALKIN DUBLIN 22, DUBLIN",Dublin 22,Dublin,212000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,12,2017,2017-12-14,120.8404921,35777.04822
"12 HOLLOW WAY, OAKVIEW VILLAGE, TRALEE",Unknown,Kerry,212000.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,10,2021,2021-10-22,85.62474275,28626.5986
"12 BOLBROOK DR, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,212000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,12,2014,2014-12-14,120.6112462,31589.80748
"4 Stocking Wood Manor, Stocking Avenue, Rathfarnham",Unknown,Dublin,240620.0,No,New Dwelling house /Apartment,greater than or equal to 125 sq metres,14,12,2012,2012-12-14,119.0093179,30840.87562
"57 AN GRIANAN, BALLINROAD, DUNGARVAN",Unknown,Waterford,212000.0,No,Second-Hand Dwelling house /Apartment,Unknown,16,11,2021,2021-11-16,89.61237729,29907.28912
"2 CREGGAUN, REHINS, BALLINA",Unknown,Mayo,212000.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,6,2015,2015-06-19,80.22447756,21808.41533
"3 SLIP LAWN, BANTRY, CORK",Unknown,Cork,212000.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,1,2018,2018-01-22,101.6747702,31087.1811
"14 the rope walk, convent garden, kinsale",Unknown,Cork,240763.01,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,14,10,2016,2016-10-14,98.91884037,27690.63863
"35 HOLYWELL AVENUE, SWORDS, CO. DUBLIN",Unknown,Dublin,212500.0,No,Second-Hand Dwelling house /Apartment,Unknown,30,7,2021,2021-07-30,123.9176757,41522.06589
"33 Griffen Glen Boulevard, Lucan",Unknown,Dublin,212500.0,No,Second-Hand Dwelling house /Apartment,Unknown,4,11,2010,2010-11-04,114.6838254,29224.81553
"24 CATHERINES CLOSE, CARMANS HALL, DUBLIN 8",Dublin 15,Dublin,212500.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,9,2017,2017-09-08,120.8404921,35777.04822
"LARKHILL, DAWROSMORE, LETTERFRACK",Unknown,Galway,212500.0,No,Second-Hand Dwelling house /Apartment,Unknown,12,5,2020,2020-05-12,89.61251364,29161.30477
"56 Abbeyfield, Kilcock",Unknown,Kildare,212500.0,No,Second-Hand Dwelling house /Apartment,Unknown,27,12,2012,2012-12-27,103.1172705,26722.50351
"3 The Gearagh, Meadowlands, Macroom",Unknown,Cork,241199.98500000002,No,New Dwelling house /Apartment,Unknown,28,11,2019,2019-11-28,102.3223668,32550.68859
"8 Rampart Green, Rathmullen, Rathmullen Road",Unknown,Louth,241252.195,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,13,7,2018,2018-07-13,90.09730878,27547.3586
"7 Rampart Green, Rathmullen, Rathmullen Road",Unknown,Louth,241252.195,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,13,7,2018,2018-07-13,90.09730878,27547.3586
"MUCKLIN, BRACKLYN, DELVIN",Unknown,Westmeath,213000.0,No,Second-Hand Dwelling house /Apartment,Unknown,2,10,2017,2017-10-02,81.80278841,24219.21871
"57 Morrow House, Myrtle Drive, Baldoyle",Unknown,Dublin,241755.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,2,2,2016,2016-02-02,121.9729259,34144.23583
"31 ARDMORE, CARNEW ROAD, GOREY",Unknown,Wexford,213000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,4,2019,2019-04-18,83.51898489,26568.97561
"26 MAPLE CLOSE, JOHNSTOWN, NAVAN",Unknown,Meath,213000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,6,2020,2020-06-08,100.1450409,32617.34424
"56 FOREST DALE, RIVERVALLEY, SWORDS",Unknown,Dublin,213000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,11,2013,2013-11-29,120.0591077,30843.61949
"34 Old Bawn Avenue, Tallaght, Dublin 24",Unknown,Dublin,213000.0,No,Second-Hand Dwelling house /Apartment,Unknown,30,10,2013,2013-10-30,120.0591077,30843.61949
"104 MADEIRA WOOD, THE MOYNE, ENNISCORTHY",Unknown,Wexford,213000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,11,2019,2019-11-29,83.51898489,26568.97561
"Unit 22 Rampart Green, Rathmullen  Road, Drogheda",Unknown,Louth,241983.135,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,6,12,2018,2018-12-06,90.09730878,27547.3586
"4 CHURCHWOOD, MUFF, DONEGAL",Unknown,Donegal,213500.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,3,2021,2021-03-08,71.41550905,23788.7895
"Kalulishi, Inchaloughra, Castlegregory",Unknown,Kerry,213675.0,No,Second-Hand Dwelling house /Apartment,Unknown,13,4,2010,2010-04-13,84.16817185,21448.52849
"38 PRIORY SQ, ST RAPHAELS MANOR, CELBRIDGE",Unknown,Kildare,214000.0,No,Second-Hand Dwelling house /Apartment,Unknown,23,4,2018,2018-04-23,113.8570586,34811.93017
"162 BLOCK D BELFRY HALL, CITYWEST RD, DUBLIN 24",Dublin 24,Dublin,214000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,6,2019,2019-06-14,122.2901374,38902.81574
"CARNAGH EAST, KILTOOM, ATHLONE",Unknown,Roscommon,214000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,5,2021,2021-05-14,79.78536979,26551.51879
"20 WOODLANDS GREEN, ARKLOW, WICKLOW",Unknown,Wicklow,214000.0,No,Second-Hand Dwelling house /Apartment,Unknown,15,4,2020,2020-04-15,102.4319249,33436.55561
"Millicent Road, Clane",Unknown,Kildare,214000.0,No,Second-Hand Dwelling house /Apartment,Unknown,11,1,2013,2013-01-11,101.704581,26128.27512
"24 WOODFORD CRESCENT, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,214000.0,No,Second-Hand Dwelling house /Apartment,Unknown,2,12,2016,2016-12-02,121.9729259,34144.23583
"54 EALLAGH, HEADFORD",Unknown,Galway,242989.3125,No,New Dwelling house /Apartment,Unknown,14,5,2019,2019-05-14,90.37404068,28749.69908
"1 The Willows, Allenwood, Naas",Unknown,Kildare,242998.96,No,New Dwelling house /Apartment,greater than or equal to 125 sq metres,12,8,2011,2011-08-12,102.7482377,25674.0299
"No. 14 Tulaigh na Greine, Tullagh Hill, Loughrea",Unknown,Galway,243564.63265,Yes,New Dwelling house /Apartment,Unknown,12,6,2020,2020-06-12,89.61251364,29161.30477
"No.62 Kerlogue Manor, Rocksborough",Unknown,Wexford,243999.99595,No,New Dwelling house /Apartment,Unknown,11,6,2021,2021-06-11,81.57245941,27113.90239
"Clonmel Road, Mitchelstown",Unknown,Cork,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,26,6,2012,2012-06-26,99.68430933,25832.86283
"15 SOUTHERN GARDENS, CARLOW, CARLOW",Unknown,Carlow,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,24,1,2017,2017-01-24,85.94628606,25445.97733
"4 CHAPEL COURT, Skibbereen",Unknown,Cork,244025.0,Yes,New Dwelling house /Apartment,Unknown,19,3,2020,2020-03-19,102.4934839,33427.07414
"117 THE CRESCENT, PARK WEST POINT, DUBLIN 12",Dublin 12,Dublin,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,21,8,2019,2019-08-21,122.2901374,38902.81574
"21 CLOISTERS, OLDCASTLE RD, KELLS",Unknown,Meath,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,25,9,2017,2017-09-25,105.0864966,31112.78838
"12 WHITETHORN DRIVE UPPER, CAHERDAVIN, LIMERICK",Unknown,Limerick,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,2,10,2019,2019-10-02,109.2395096,34751.16309
"13 BALLYBODEN CRESCENT, RATHFARNHAM, DUBLIN 16",Dublin 16,Dublin,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,23,3,2016,2016-03-23,121.9729259,34144.23583
"DUBLIN RD, NAVAN, MEATH",Unknown,Meath,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,9,8,2016,2016-08-09,100.2696773,28068.78233
"52 NEWBERRY GREEN, DROMAHANE, MALLOW",Unknown,Cork,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,27,8,2019,2019-08-27,102.3223668,32550.68859
"101 the cedars, carrington park, northwood santry",Dublin 9,Dublin,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,4,8,2010,2010-08-04,114.6838254,29224.81553
"APT 27, 125 FRANCIS STREET, DUBLIN 8",Unknown,Dublin,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,23,12,2019,2019-12-23,122.2901374,38902.81574
"57 HIGGINS PARK, FAIRGREEN VILLAGE, PORTLAOISE",Unknown,Laois,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,12,2021,2021-12-14,69.85563032,23127.10588
"THE MEADOWS, CARSON DARTRY, COOTEHILL",Unknown,Cavan,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,12,2018,2018-12-14,80.69126288,24671.44895
"4 HOLYWELL CRESCENT SOUTH, FELTRIM RD, SWORDS",Unknown,Dublin,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,14,2,2019,2019-02-14,122.2901374,38902.81574
"1 NEILSTOWN GARDENS, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,2,2017,2017-02-10,120.8404921,35777.04822
"58 TEMPLE LAWNS, NORTHWOOD, SANTRY DUBLIN 9",Dublin 9,Dublin,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,28,3,2017,2017-03-28,120.8404921,35777.04822
"ROELOUGH, KILCAR, CO DONEGAL",Unknown,Donegal,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,1,2019,2019-01-08,72.41234003,23035.7409
"4 ALTAMOUNT, TULLIG, MILLSTREET TOWN",Unknown,Cork,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,22,9,2017,2017-09-22,98.94301186,29293.89683
"Copper Alley, Maynooth",Unknown,Kildare,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,4,2011,2011-04-18,102.7482377,25674.0299
"7 BALLENTREE CLOSE, TYRELLSTOWN, DUBLIN 15",Dublin 15,Dublin,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,31,10,2014,2014-10-31,120.6112462,31589.80748
"19 COURTLANDS, SILVERSPRINGS, CORK",Unknown,Cork,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,19,8,2016,2016-08-19,98.91884037,27690.63863
"29A MAPLEWOOD AVENUE, SPRINGFIELD, TALLAGHT",Dublin 24,Dublin,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,26,5,2017,2017-05-26,120.8404921,35777.04822
"14 Crescent Avenue, Friary Walk, Callan",Unknown,Kilkenny,244025.0,No,New Dwelling house /Apartment,Unknown,6,12,2019,2019-12-06,87.53158408,27845.45964
"Rosanna Road, Tipperary",Unknown,Tipperary,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,28,5,2013,2013-05-28,94.86943018,24372.30013
"BALLYBOY WEST, ATHBOY, MEATH",Unknown,Meath,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,20,10,2020,2020-10-20,100.1450409,32617.34424
"8 THE RISE, HUNTSFIELD, DOORADOYLE",Unknown,Limerick,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,2,2014,2014-02-18,106.2192943,27820.3498
"11 SLADE CASTLE WALK, SAGGART, CO DUBLIN",Dublin 24,Dublin,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,7,2019,2019-07-03,122.2901374,38902.81574
"4 Moy Glas, Lucan",Unknown,Dublin,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,29,4,2011,2011-04-29,117.6102093,29387.63815
"6 NEWHAVEN RISE, FLEMINGTON LANE, BALBRIGGAN",Unknown,Dublin,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,4,9,2017,2017-09-04,120.8404921,35777.04822
"16 SLANEY BANK AVE, RATHVILLY, CARLOW",Unknown,Carlow,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,3,2020,2020-03-10,87.77965346,28593.87348
"4 Ticknock Court, Arklow",Unknown,Wicklow,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,3,9,2012,2012-09-03,100.3087324,25994.68003
"89 RIALTO COTTAGES, RIALTO, DUBLIN 8",Dublin 8,Dublin,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,8,4,2016,2016-04-08,121.9729259,34144.23583
"11 ASHGROVE, MONADREEN, THURLES",Unknown,Tipperary,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,18,10,2019,2019-10-18,83.31231368,26503.22958
"17 THE COURT LAKEPOINT PARK, MULLINGAR, WESTMEATH",Unknown,Westmeath,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,10,2,2017,2017-02-10,81.80278841,24219.21871
"COOLAHULEEN, AUGHRIM, WICKLOW",Unknown,Wicklow,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,17,4,2019,2019-04-17,101.8452264,32398.90117
"Phoepotstown, Kilcock",Unknown,Meath,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,4,1,2013,2013-01-04,96.13678379,24697.88787
"85 SHANOWEN, RATHCORMAC, CORK",Unknown,Cork,215000.0,No,Second-Hand Dwelling house /Apartment,Unknown,13,2,2018,2018-02-13,101.6747702,31087.1811
